experiment,participant,orientation,regularity,variability,condition,RTs
exp1,4,upright,angry,low,upright_angry_low,254
exp1,4,upright,neutral,low,upright_neutral_low,556
exp1,4,upright,irregular,low,upright_irregular_low,478
exp1,4,inverted,angry,low,inverted_angry_low,460
exp1,4,inverted,neutral,low,inverted_neutral_low,373
exp1,4,inverted,irregular,low,inverted_irregular_low,521
exp1,4,upright,angry,high,upright_angry_high,568
exp1,4,upright,neutral,high,upright_neutral_high,476.5
exp1,4,upright,irregular,high,upright_irregular_high,728
exp1,4,inverted,angry,high,inverted_angry_high,564.5
exp1,4,inverted,neutral,high,inverted_neutral_high,345
exp1,4,inverted,irregular,high,inverted_irregular_high,420.5
exp1,5,upright,angry,low,upright_angry_low,618
exp1,5,upright,neutral,low,upright_neutral_low,535
exp1,5,upright,irregular,low,upright_irregular_low,612
exp1,5,inverted,angry,low,inverted_angry_low,319
exp1,5,inverted,neutral,low,inverted_neutral_low,411
exp1,5,inverted,irregular,low,inverted_irregular_low,417
exp1,5,upright,angry,high,upright_angry_high,350.5
exp1,5,upright,neutral,high,upright_neutral_high,329
exp1,5,upright,irregular,high,upright_irregular_high,625
exp1,5,inverted,angry,high,inverted_angry_high,685
exp1,5,inverted,neutral,high,inverted_neutral_high,576.5
exp1,5,inverted,irregular,high,inverted_irregular_high,573
exp1,6,upright,angry,low,upright_angry_low,395.5
exp1,6,upright,neutral,low,upright_neutral_low,452
exp1,6,upright,irregular,low,upright_irregular_low,338.5
exp1,6,inverted,angry,low,inverted_angry_low,535
exp1,6,inverted,neutral,low,inverted_neutral_low,529.5
exp1,6,inverted,irregular,low,inverted_irregular_low,432.5
exp1,6,upright,angry,high,upright_angry_high,377
exp1,6,upright,neutral,high,upright_neutral_high,518
exp1,6,upright,irregular,high,upright_irregular_high,585
exp1,6,inverted,angry,high,inverted_angry_high,543
exp1,6,inverted,neutral,high,inverted_neutral_high,430
exp1,6,inverted,irregular,high,inverted_irregular_high,741
exp1,7,upright,angry,low,upright_angry_low,386
exp1,7,upright,neutral,low,upright_neutral_low,379
exp1,7,upright,irregular,low,upright_irregular_low,441
exp1,7,inverted,angry,low,inverted_angry_low,492
exp1,7,inverted,neutral,low,inverted_neutral_low,728
exp1,7,inverted,irregular,low,inverted_irregular_low,781.5
exp1,7,upright,angry,high,upright_angry_high,607.5
exp1,7,upright,neutral,high,upright_neutral_high,535
exp1,7,upright,irregular,high,upright_irregular_high,318
exp1,7,inverted,angry,high,inverted_angry_high,418.5
exp1,7,inverted,neutral,high,inverted_neutral_high,420.5
exp1,7,inverted,irregular,high,inverted_irregular_high,616
exp1,8,upright,angry,low,upright_angry_low,412
exp1,8,upright,neutral,low,upright_neutral_low,664
exp1,8,upright,irregular,low,upright_irregular_low,572.5
exp1,8,inverted,angry,low,inverted_angry_low,412.5
exp1,8,inverted,neutral,low,inverted_neutral_low,562.5
exp1,8,inverted,irregular,low,inverted_irregular_low,519
exp1,8,upright,angry,high,upright_angry_high,451
exp1,8,upright,neutral,high,upright_neutral_high,624
exp1,8,upright,irregular,high,upright_irregular_high,570
exp1,8,inverted,angry,high,inverted_angry_high,517
exp1,8,inverted,neutral,high,inverted_neutral_high,318
exp1,8,inverted,irregular,high,inverted_irregular_high,576.5
exp1,9,upright,angry,low,upright_angry_low,496
exp1,9,upright,neutral,low,upright_neutral_low,711
exp1,9,upright,irregular,low,upright_irregular_low,585
exp1,9,inverted,angry,low,inverted_angry_low,462
exp1,9,inverted,neutral,low,inverted_neutral_low,668.5
exp1,9,inverted,irregular,low,inverted_irregular_low,539
exp1,9,upright,angry,high,upright_angry_high,696
exp1,9,upright,neutral,high,upright_neutral_high,570
exp1,9,upright,irregular,high,upright_irregular_high,701
exp1,9,inverted,angry,high,inverted_angry_high,565.5
exp1,9,inverted,neutral,high,inverted_neutral_high,609
exp1,9,inverted,irregular,high,inverted_irregular_high,430
exp1,10,upright,angry,low,upright_angry_low,521
exp1,10,upright,neutral,low,upright_neutral_low,532.5
exp1,10,upright,irregular,low,upright_irregular_low,413
exp1,10,inverted,angry,low,inverted_angry_low,591
exp1,10,inverted,neutral,low,inverted_neutral_low,451.5
exp1,10,inverted,irregular,low,inverted_irregular_low,572.5
exp1,10,upright,angry,high,upright_angry_high,304
exp1,10,upright,neutral,high,upright_neutral_high,513
exp1,10,upright,irregular,high,upright_irregular_high,436
exp1,10,inverted,angry,high,inverted_angry_high,602
exp1,10,inverted,neutral,high,inverted_neutral_high,702
exp1,10,inverted,irregular,high,inverted_irregular_high,585
exp1,11,upright,angry,low,upright_angry_low,582
exp1,11,upright,neutral,low,upright_neutral_low,585
exp1,11,upright,irregular,low,upright_irregular_low,335
exp1,11,inverted,angry,low,inverted_angry_low,447.5
exp1,11,inverted,neutral,low,inverted_neutral_low,622
exp1,11,inverted,irregular,low,inverted_irregular_low,413
exp1,11,upright,angry,high,upright_angry_high,485
exp1,11,upright,neutral,high,upright_neutral_high,568
exp1,11,upright,irregular,high,upright_irregular_high,478
exp1,11,inverted,angry,high,inverted_angry_high,518
exp1,11,inverted,neutral,high,inverted_neutral_high,452
exp1,11,inverted,irregular,high,inverted_irregular_high,332
exp1,12,upright,angry,low,upright_angry_low,323.5
exp1,12,upright,neutral,low,upright_neutral_low,365
exp1,12,upright,irregular,low,upright_irregular_low,411
exp1,12,inverted,angry,low,inverted_angry_low,551
exp1,12,inverted,neutral,low,inverted_neutral_low,509
exp1,12,inverted,irregular,low,inverted_irregular_low,411
exp1,12,upright,angry,high,upright_angry_high,436.5
exp1,12,upright,neutral,high,upright_neutral_high,520
exp1,12,upright,irregular,high,upright_irregular_high,535
exp1,12,inverted,angry,high,inverted_angry_high,411
exp1,12,inverted,neutral,high,inverted_neutral_high,335
exp1,12,inverted,irregular,high,inverted_irregular_high,402
exp1,13,upright,angry,low,upright_angry_low,601
exp1,13,upright,neutral,low,upright_neutral_low,306.5
exp1,13,upright,irregular,low,upright_irregular_low,521
exp1,13,inverted,angry,low,inverted_angry_low,550.5
exp1,13,inverted,neutral,low,inverted_neutral_low,619
exp1,13,inverted,irregular,low,inverted_irregular_low,573
exp1,13,upright,angry,high,upright_angry_high,335
exp1,13,upright,neutral,high,upright_neutral_high,518.5
exp1,13,upright,irregular,high,upright_irregular_high,610
exp1,13,inverted,angry,high,inverted_angry_high,597
exp1,13,inverted,neutral,high,inverted_neutral_high,401
exp1,13,inverted,irregular,high,inverted_irregular_high,523
exp1,14,upright,angry,low,upright_angry_low,518
exp1,14,upright,neutral,low,upright_neutral_low,596
exp1,14,upright,irregular,low,upright_irregular_low,640
exp1,14,inverted,angry,low,inverted_angry_low,443.5
exp1,14,inverted,neutral,low,inverted_neutral_low,579
